	id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene-YER062C	gene-YER062C	16722.2877013473	7.89976330600266	0.407987465366279	19.3627598311397	1.59127550165421e-83	9.2882751031556e-80
gene-YDR536W	gene-YDR536W	10083.7727512488	7.87393100549699	0.411273769432631	19.145230235226	1.06068755547371e-81	3.09561663065003e-78
gene-YHR094C	gene-YHR094C	8491.68394270692	7.88132622830887	0.431800597209033	18.2522355903402	1.98612683986997e-74	3.86434078810701e-71
gene-YNL065W	gene-YNL065W	2108.72978763742	7.78513099909343	0.466742795515191	16.6797025554518	1.84133443414444e-62	2.68696727302528e-59
gene-YKL120W	gene-YKL120W	1726.50475758766	7.26915816048641	0.482282817103349	15.0723971551503	2.46022027927579e-51	2.87206115402656e-48
gene-YJL122W	gene-YJL122W	1291.14750462885	6.49505895566276	0.432384177261772	15.0215000853987	5.30924583137428e-51	5.16405379566841e-48
gene-YLR264W	gene-YLR264W	1387.97957942017	6.48380908470743	0.431928788196514	15.0112918191447	6.19297182965203e-51	5.16405379566841e-48
gene-YGR159C	gene-YGR159C	8018.15131248875	6.76739331663091	0.451462636806733	14.9899299851207	8.5443249421331e-51	6.23415308590386e-48
gene-YNL112W	gene-YNL112W	5326.83338186053	7.36397911868923	0.493173593507504	14.931819577597	2.04605788240111e-50	1.32698220661948e-47
gene-YOR271C	gene-YOR271C	1051.90868925687	6.84422036552702	0.472540685034976	14.483875319689	1.53209881864749e-47	8.94286080444539e-45
gene-YJL108C	gene-YJL108C	954.754489577026	5.99578760505992	0.427797015337812	14.015496579202	1.25318636117715e-44	6.64986253653732e-42
gene-YJL107C	gene-YJL107C	845.167199443989	6.17188989449019	0.442887364422243	13.9355745733265	3.85088827372698e-44	1.87313623781203e-41
gene-YOR360C	gene-YOR360C	1922.34123812615	5.65863163302129	0.40672988109962	13.912505316115	5.31834002076625e-44	2.38793466932405e-41
gene-YOL124C	gene-YOL124C	593.848915354102	7.80419876995599	0.56272531795614	13.8685758769508	9.82073011665689e-44	4.09454297792331e-41
gene-YOL136C	gene-YOL136C	1161.50384384288	5.70905039811023	0.416236549933795	13.7158795858227	8.15711239756054e-43	3.17420433763739e-40
gene-YER127W	gene-YER127W	730.574484969922	5.98052612536115	0.441075698186009	13.5589563196453	7.01267833428044e-42	2.55831271482468e-39
gene-YLR180W	gene-YLR180W	1930.68183773854	6.78087763283193	0.503742884334184	13.4609894128718	2.65339240706782e-41	9.11050087062051e-39
gene-YNL141W	gene-YNL141W	2899.57078063068	6.47306491660001	0.481941530181382	13.4312245598835	3.96795233818702e-41	1.22029525546338e-38
gene-YCR072C	gene-YCR072C	700.732219979521	5.89470241519363	0.438883066024615	13.4311457231367	3.9721791765983e-41	1.22029525546338e-38
gene-YML043C	gene-YML043C	521.960783675712	6.41370567366752	0.481843637451848	13.3107613656276	2.00428799113578e-40	5.84951450212977e-38
gene-YMR300C	gene-YMR300C	1596.01774773466	5.81473859075063	0.439423534193989	13.2326517318111	5.68458118686988e-40	1.58004287560759e-37
gene-YEL026W	gene-YEL026W	2037.52251648377	5.36767136913932	0.409412061289986	13.1106820649756	2.86014537283428e-39	7.58848570056077e-37
gene-YOR359W	gene-YOR359W	477.733284010063	6.35677823446662	0.486140452873935	13.0760116688233	4.51516571850384e-39	1.14587053473508e-36
gene-YHR066W	gene-YHR066W	1305.13183080803	5.58292600986991	0.42780504077158	13.0501641584229	6.3410623673411e-39	1.54219920992375e-36
gene-YGR079W	gene-YGR079W	1513.66185651183	5.32802397874968	0.4090299201841	13.0260005829197	8.70523985188938e-39	2.03249940061913e-36
gene-YIR012W	gene-YIR012W	1538.6790838314	5.33179049602799	0.414327414765096	12.8685438279552	6.76658193432536e-38	1.51909764425604e-35
gene-YOL041C	gene-YOL041C	1900.55851454077	5.68956275253265	0.443474543818554	12.829513738359	1.120653042869e-37	2.41688710567115e-35
gene-YJL148W	gene-YJL148W	1277.35804798174	5.22623740617309	0.407444120926422	12.8268813752668	1.15937705942765e-37	2.41688710567115e-35
gene-YLR327C	gene-YLR327C	14473.686900582	-5.02535408792345	0.392362397139192	-12.8079401200638	1.48011679588698e-37	2.97911784054908e-35
gene-YOL151W	gene-YOL151W	10479.9438308717	5.98019607615139	0.469794616567286	12.7293840015616	4.06029874450019e-37	7.89998792388254e-35
gene-YBL028C	gene-YBL028C	857.684676373618	5.39143359152172	0.423887148716342	12.7190305435034	4.63575940632615e-37	8.72868634023411e-35
gene-YDL063C	gene-YDL063C	1078.48686663737	5.5518534723234	0.436821235615793	12.7096693559252	5.22549156061071e-37	9.53162319977647e-35
gene-YOL080C	gene-YOL080C	382.848121159801	6.25179290013226	0.492059200142272	12.7053673588963	5.52095608455631e-37	9.76540020168339e-35
gene-YML018C	gene-YML018C	801.99781800644	5.83726717937215	0.461035755575215	12.6612027565828	9.70016987804939e-37	1.66529092876983e-34
gene-YHR196W	gene-YHR196W	1195.42768998335	5.15799259858914	0.407854592973282	12.6466458572578	1.16753729485522e-36	1.94711862573426e-34
gene-YNR060W	gene-YNR060W	1989.62402346784	6.43150512439354	0.510924472920807	12.5879762377137	2.45897050423116e-36	3.98694745366591e-34
gene-YPL212C	gene-YPL212C	1384.74839476021	5.22724668355431	0.418401545095382	12.4933732794	8.11389807565086e-36	1.28002224506957e-33
gene-YBL039C	gene-YBL039C	2043.4963573197	6.18471966137153	0.496158546031002	12.465208371086	1.15569307504892e-35	1.77520538922645e-33
gene-YJR063W	gene-YJR063W	779.447044965878	5.28289289305297	0.425183461130829	12.4249726906179	1.91291740147929e-35	2.86299971088067e-33
gene-YLR264C-A	gene-YLR264C-A	400.062850548046	6.38248801721056	0.513766124414577	12.4229444369911	1.96204962638441e-35	2.86312091730145e-33
gene-YDR037W	gene-YDR037W	4851.82457713183	5.21338990646173	0.423401416588007	12.3131139911481	7.69940904314375e-35	1.09613294109342e-32
gene-YNL182C	gene-YNL182C	617.414476693817	5.51232937682446	0.452916380436165	12.1707441261365	4.45006997765356e-34	6.18453772846758e-32
gene-YDR449C	gene-YDR449C	839.345971355691	5.17923958551633	0.426846607115612	12.1337255566226	6.99912040608118e-34	9.5008990256502e-32
